,UPC,DESCRIPTION
0,1111009477,PL MINI TWIST PRETZELS
1,1111009497,PL PRETZEL STICKS
2,1111009507,PL TWIST PRETZELS
3,1111035398,PL BL MINT ANTSPTC RINSE
4,1111038078,PL BL MINT ANTSPTC RINSE
5,1111038080,PL ANTSPTC SPG MNT MTHWS
6,1111085319,PL HONEY NUT TOASTD OATS
7,1111085345,PL RAISIN BRAN
8,1111085350,PL BT SZ FRSTD SHRD WHT
9,1111087395,PL SR CRUST SUPRM PIZZA
10,1111087396,PL SR CRUST 3 MEAT PIZZA
11,1111087398,PL SR CRUST PEPPRN PIZZA
12,1600027527,GM HONEY NUT CHEERIOS
13,1600027528,GM CHEERIOS
14,1600027564,GM CHEERIOS
15,2066200530,NWMN OWN PEPPERONI PIZZA
16,2066200531,NWMN OWN 4 CHEESE PIZZA
17,2066200532,NWMN OWN SUPREME PIZZA
18,2840002333,RLDGLD BRAIDED HONEY WHT
19,2840004768,RLDGLD TINY TWISTS PRTZL
20,2840004770,RLDGLD PRETZEL STICKS
21,3000006340,QKER LIFE ORIGINAL
22,3000006560,QKER CAP N CRUNCH BERRIES
23,3000006610,QKER CAP N CRUNCH
24,3120505000,HMRN CLSC SAUSAGE PIZZA
25,3120505100,HMRN CLSC SSG PEPP PIZZA
26,3120506000,HMRN CLSC CHS PIZZA
27,3500068914,COLG SPEARMINT WISP
28,3700019521,CREST PH WHTG CLN MINT TP
29,3700031613,SCOPE ORIG MINT MOUTHWASH
30,3700044982,CREST PH CLN MINT RINSE
31,3800031829,KELL BITE SIZE MINI WHEAT
32,3800031838,KELL FROSTED FLAKES
33,3800039118,KELL FROOT LOOPS
34,4116709428,ACT MINT A/CAV FLUOR RNS
35,4116709448,ACT KIDS BBLGUM FLUOR RNS
36,4116709565,ACT RSTR CL SPLSH MINT MW
37,7027312504,SHURGD PRETZEL RODS
38,7027316204,SHURGD MINI PRETZELS
39,7027316404,SHURGD PRETZEL STICKS
40,7110410455,MKSL MINI TWIST PRETZELS
41,7110410470,MKSL DUTCH PRETZELS
42,7110410471,MKSL PRETZEL STICKS
43,7192100336,DIGIORNO THREE MEAT
44,7192100337,DIGRN SUPREME PIZZA
45,7192100339,DIGRN PEPP PIZZA
46,7218063052,FRSC BRCK OVN ITL PEP PZ
47,7218063979,FRSC PEPPERONI PIZZA
48,7218063983,FRSC 4 CHEESE PIZZA
49,7797502248,SNYDR PRETZEL RODS
50,7797508004,SNYDR SOURDOUGH NIBBLERS
51,7797508006,SNYDR FF MINI PRETZELS
52,31254742725,LSTRNE CL MINT ANTSPTC MW
53,31254742735,LSTRNE CL MINT ANTSPTC MW
54,31254742835,LSTRNE FRS BRST ANTSPC MW
55,88491201426,POST HNY BN OTS HNY RSTD
56,88491201427,POST FM SZ HNYBNCH OT ALM
57,88491212971,POST FRUITY PEBBLES
